measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Brazil,Male,Age-standardized,All causes,Rate,2009,894.6296697,911.9705558,878.0386306
Deaths,Brazil,Female,Age-standardized,All causes,Rate,2009,568.1123523,578.5561885,557.6773094
Deaths,Brazil,Male,Age-standardized,Ischemic heart disease,Rate,2009,114.9992452,119.9441458,107.8060851
Deaths,Brazil,Female,Age-standardized,Ischemic heart disease,Rate,2009,70.34384715,74.39602081,63.28342844
Deaths,Turkmenistan,Male,Age-standardized,Ischemic heart disease,Rate,2009,496.2960182,511.7592166,470.3441031
Deaths,Turkmenistan,Female,Age-standardized,Ischemic heart disease,Rate,2009,312.3309012,327.1757416,286.5994173
Deaths,Turkmenistan,Male,Age-standardized,Ischemic stroke,Rate,2009,103.0385342,118.3979405,84.9336621
Deaths,Turkmenistan,Female,Age-standardized,Ischemic stroke,Rate,2009,74.00166412,81.94673858,61.58022137
Deaths,Turkmenistan,Male,Age-standardized,Intracerebral hemorrhage,Rate,2009,83.34814321,100.0777401,70.81081655
Deaths,Turkmenistan,Female,Age-standardized,Intracerebral hemorrhage,Rate,2009,57.72147434,69.1772238,50.53935378
Deaths,Benin,Male,Age-standardized,Ischemic heart disease,Rate,2009,131.7095522,162.1957533,106.1001976
Deaths,Benin,Female,Age-standardized,Ischemic heart disease,Rate,2009,102.5996647,125.1182299,83.3631279
Deaths,Turkmenistan,Male,Age-standardized,Hypertensive heart disease,Rate,2009,18.63457624,22.53475234,15.37763353
Deaths,Turkmenistan,Female,Age-standardized,Hypertensive heart disease,Rate,2009,15.41003556,18.5753235,11.48035476
Deaths,Albania,Male,Age-standardized,Hypertensive heart disease,Rate,2009,7.44597143,8.86634032,5.45649845
Deaths,Albania,Female,Age-standardized,Hypertensive heart disease,Rate,2009,6.88066366,8.171165555,5.428487102
Deaths,Bosnia and Herzegovina,Male,Age-standardized,All causes,Rate,2009,856.9289458,875.615955,839.0035557
Deaths,Bosnia and Herzegovina,Female,Age-standardized,All causes,Rate,2009,612.9037166,630.148612,596.4490645
Deaths,Denmark,Male,Age-standardized,Ischemic heart disease,Rate,2019,73.88384027,78.96121294,67.15457132
Deaths,Denmark,Female,Age-standardized,Ischemic heart disease,Rate,2019,40.48776795,44.90658729,34.19644648
Deaths,Denmark,Male,Age-standardized,Ischemic stroke,Rate,2019,25.19134612,28.11178527,21.95313772
