"Country","iso3","Year","control","Progress","Aspirational","Business as usual","p_change","a_change","aroc","model","wb2021","location","ref","asp","reach_base","refwsalt","aspwsalt","reach_75","reach_975","aroc2","p_change2","a_change2","ideal"
"Afghanistan","AFG",2017,0.127035092316764,0.127035092316764,0.127035092316764,0.127035092316764,0,0,0,"9","LIC","Afghanistan",0,0,Inf,2040,2033,2042,2033,0,0,0,0
"Afghanistan","AFG",2018,0.131283601674955,0.131283601674955,0.131283601674955,0.131283601674955,0,0,0,"9","LIC","Afghanistan",0,0,Inf,2040,2033,2042,2033,0,0,0,0
"Afghanistan","AFG",2019,0.135952522066815,0.135952522066815,0.135952522066815,0.135952522066815,0,0,0,"9","LIC","Afghanistan",0,0,Inf,2040,2033,2042,2033,0,0,0,0
"Albania","ALB",2017,0.0786377840786538,0.0786377840786538,0.0786377840786538,0.0786377840786538,0,0,0,"9","UMIC","Albania",0,0,Inf,2041,2035,2045,2036,0,0,0,0
"Albania","ALB",2018,0.0813001744774715,0.0813001744774715,0.0813001744774715,0.0813001744774715,0,0,0,"9","UMIC","Albania",0,0,Inf,2041,2035,2045,2036,0,0,0,0
"Albania","ALB",2019,0.0843004302289554,0.0843004302289554,0.0843004302289554,0.0843004302289554,0,0,0,"9","UMIC","Albania",0,0,Inf,2041,2035,2045,2036,0,0,0,0
"Algeria","DZA",2017,0.149281120270748,0.149281120270748,0.149281120270748,0.149281120270748,0,0,0,"9","LMIC","Algeria",0,0,Inf,2038,2032,2041,2032,0,0,0,0
"Algeria","DZA",2018,0.153116553618715,0.153116553618715,0.153116553618715,0.153116553618715,0,0,0,"9","LMIC","Algeria",0,0,Inf,2038,2032,2041,2032,0,0,0,0
"Algeria","DZA",2019,0.157388804393249,0.157388804393249,0.157388804393249,0.157388804393249,0,0,0,"9","LMIC","Algeria",0,0,Inf,2038,2032,2041,2032,0,0,0,0
"Angola","AGO",2017,0.0989639248009263,0.0989639248009263,0.0989639248009263,0.0989639248009263,0,0,0,"9","LMIC","Angola",0,0,Inf,2041,2034,2043,2034,0,0,0,0
"Angola","AGO",2018,0.105817817377082,0.105817817377082,0.105817817377082,0.105817817377082,0,0,0,"9","LMIC","Angola",0,0,Inf,2041,2034,2043,2034,0,0,0,0
"Angola","AGO",2019,0.113338829134002,0.113338829134002,0.113338829134002,0.113338829134002,0,0,0,"9","LMIC","Angola",0,0,Inf,2041,2034,2043,2034,0,0,0,0
"Antigua and Barbuda","ATG",2017,0.221170985632971,0.221170985632971,0.221170985632971,0.221170985632971,0,0,0,"6","HIC","Antigua and Barbuda",0,0,Inf,2036,2029,2038,2030,0,0,0,0
"Antigua and Barbuda","ATG",2018,0.224218304169008,0.224218304169008,0.224218304169008,0.224218304169008,0,0,0,"6","HIC","Antigua and Barbuda",0,0,Inf,2036,2029,2038,2030,0,0,0,0
